target,name,feature_type,diameter_km,center_lat_deg,center_lon_deg,north_lat_deg,south_lat_deg,east_lon_deg,west_lon_deg,coordinate_system
Moon,Lacus Aestatis,"Lacus, lacūs",86.39,-14.8300,-68.5700,-13.4200,-16.2400,-67.8600,-69.3900,"Planetographic, +East, -180 - 180"
Moon,Lacus Autumni,"Lacus, lacūs",195.65,-11.8100,-83.1700,-9.1800,-14.5700,-80.5700,-85.3500,"Planetographic, +East, -180 - 180"
Moon,Lacus Bonitatis,"Lacus, lacūs",122.10,23.1800,44.3200,24.9700,21.2300,46.2000,42.6900,"Planetographic, +East, -180 - 180"
Moon,Lacus Doloris,"Lacus, lacūs",102.90,16.8000,8.6100,18.4000,15.4300,10.5600,7.0000,"Planetographic, +East, -180 - 180"
Moon,Lacus Excellentiae,"Lacus, lacūs",197.74,-35.6500,-43.5800,-32.4600,-38.7600,-40.3800,-46.1300,"Planetographic, +East, -180 - 180"
Moon,Lacus Felicitatis,"Lacus, lacūs",98.48,18.5200,5.3600,19.5600,17.6600,7.0500,3.6700,"Planetographic, +East, -180 - 180"
Moon,Lacus Gaudii,"Lacus, lacūs",88.54,16.3300,12.2700,17.0200,15.2500,13.7400,10.7500,"Planetographic, +East, -180 - 180"
Moon,Lacus Hiemalis,"Lacus, lacūs",48.04,15.0100,13.9700,15.9300,14.3500,14.7300,13.0900,"Planetographic, +East, -180 - 180"
Moon,Lacus Lenitatis,"Lacus, lacūs",78.25,14.3200,12.0500,15.3300,12.9200,13.2500,10.8600,"Planetographic, +East, -180 - 180"
Moon,Lacus Luxuriae,"Lacus, lacūs",50.61,19.4100,175.5000,20.0900,17.8900,176.4600,174.7500,"Planetographic, +East, -180 - 180"
Moon,Lacus Mortis,"Lacus, lacūs",158.78,45.1300,27.3200,47.7500,42.5000,31.0300,23.6100,"Planetographic, +East, -180 - 180"
Moon,Lacus Oblivionis,"Lacus, lacūs",49.01,-20.3900,-168.5200,-19.9200,-21.0400,-167.9600,-169.2100,"Planetographic, +East, -180 - 180"
Moon,Lacus Odii,"Lacus, lacūs",72.68,19.2200,7.2700,19.9600,18.7700,8.4300,6.1800,"Planetographic, +East, -180 - 180"
Moon,Lacus Perseverantiae,"Lacus, lacūs",70.64,7.8400,61.9300,8.7100,7.3200,62.8500,60.7200,"Planetographic, +East, -180 - 180"
Moon,Lacus Solitudinis,"Lacus, lacūs",122.67,-27.5200,103.8800,-25.4700,-28.5800,104.6500,102.1200,"Planetographic, +East, -180 - 180"
Moon,Lacus Somniorum,"Lacus, lacūs",424.76,37.5600,30.8000,41.5000,33.2200,39.1500,22.0400,"Planetographic, +East, -180 - 180"
Moon,Lacus Spei,"Lacus, lacūs",76.67,43.4600,65.2000,44.5600,42.5100,66.9400,63.6900,"Planetographic, +East, -180 - 180"
Moon,Lacus Temporis,"Lacus, lacūs",205.30,46.7700,56.2100,49.3600,43.8100,60.5600,52.1300,"Planetographic, +East, -180 - 180"
Moon,Lacus Tenebrarum,"Lacus, lacūs",85.00,-86.7100,-87.6700,-85.1100,-87.4000,-64.0000,-117.7300,"Planetographic, +East, -180 - 180"
