Planet,Satellite,Code,jd_tdb,a_km,e,i_deg,node_deg,argp_deg,M_deg,n_deg_per_day
Mars,Phobos,401,2460735.500000,9378.673613,0.015494136302,26.851195063,85.212704638,21.333055820,319.454795901,1127.950504215975
Mars,Phobos,401,2460742.500000,9379.445767,0.015415455506,26.907731727,85.190974474,23.803237600,298.922361304,1127.811220792238
Mars,Phobos,401,2460749.500000,9378.374546,0.015230294422,26.962872957,85.161942511,27.066615392,277.601891562,1128.004458525405
Mars,Phobos,401,2460756.500000,9377.903458,0.015094394891,27.017352248,85.128073852,30.362646253,256.249319398,1128.089455523224
Mars,Phobos,401,2460763.500000,9378.610230,0.014946087975,27.071268862,85.087582232,33.408283167,235.154835599,1127.961938718368
Mars,Phobos,401,2460770.500000,9378.952969,0.014816805579,27.124407097,85.039449819,36.798848946,213.724202788,1127.900109782009
Mars,Phobos,401,2460777.500000,9378.319298,0.014816740767,27.175320843,84.985497952,40.470845709,192.016892794,1128.014426127492
Mars,Phobos,401,2460784.500000,9377.758611,0.014860256933,27.225772159,84.928130948,44.035089087,170.418083552,1128.115591916648
Mars,Phobos,401,2460791.500000,9378.717730,0.014808012912,27.274980513,84.862447791,47.762927721,148.663197015,1127.942545498640
Mars,Phobos,401,2460798.500000,9379.217757,0.014860789260,27.321645987,84.791861780,51.433919795,126.974436426,1127.852347041287
Mars,Phobos,401,2460805.500000,9378.128522,0.015038819212,27.366903165,84.717199415,54.447523949,105.943987283,1128.048846586329
Mars,Phobos,401,2460812.500000,9378.021052,0.015166236775,27.410955933,84.637242216,57.555094129,84.820827252,1128.068237377534
Mars,Phobos,401,2460819.500000,9378.862483,0.015307888105,27.452341726,84.551134385,60.845702931,63.522018799,1127.916432636798
Mars,Phobos,401,2460826.500000,9379.105518,0.015441630767,27.491484153,84.463548727,63.715462790,42.646866269,1127.872592483112
Mars,Phobos,401,2460833.500000,9378.387543,0.015456203829,27.529675610,84.370558037,66.257441358,22.103568072,1128.002113654930
Mars,Phobos,401,2460840.500000,9377.959118,0.015441753611,27.564911848,84.272115234,68.892317289,1.469023953,1128.079412428735
Mars,Phobos,401,2460847.500000,9379.053714,0.015521566627,27.597541327,84.170870687,71.425345094,340.939899685,1127.881936900992
Mars,Phobos,401,2460854.500000,9379.355288,0.015464066689,27.628306968,84.067205542,74.012651477,320.363705035,1127.827540298875
Mars,Phobos,401,2460861.500000,9378.158889,0.015262612023,27.656670582,83.958476429,77.147355425,299.241252573,1128.043367474822
Mars,Phobos,401,2460868.500000,9378.059001,0.015127352083,27.681290631,83.847860301,80.212651518,278.187134939,1128.061390094794
Mars,Phobos,401,2460875.500000,9378.811948,0.014986667250,27.704185474,83.735708628,83.129071417,257.285784260,1127.925548885813
Mars,Phobos,401,2460882.500000,9378.916781,0.014844524135,27.724399323,83.619826178,86.498040584,235.936527519,1127.906637685397
Mars,Phobos,401,2460889.500000,9378.134850,0.014803249384,27.741519958,83.502260687,90.245824201,214.208980897,1128.047704844618
Mars,Phobos,401,2460896.500000,9377.838397,0.014776094648,27.755449364,83.384539550,93.891940106,192.580831782,1128.101195103103
Mars,Phobos,401,2460903.500000,9378.970451,0.014654290743,27.767571061,83.265479933,97.596976947,170.896615392,1127.896956360253
Mars,Phobos,401,2460910.500000,9378.987197,0.014699566117,27.776304368,83.143223260,101.325423450,149.195958087,1127.893935647543
Mars,Phobos,401,2460917.500000,9377.924582,0.014876137968,27.782148974,83.022419440,104.656388884,127.887167051,1128.085643999176
Mars,Phobos,401,2460924.500000,9378.151628,0.014980658249,27.785569684,82.900657595,108.110977865,106.453740293,1128.044677520868
Mars,Phobos,401,2460931.500000,9378.956334,0.015105489386,27.785905676,82.777983635,111.642007488,84.946633549,1127.899502805812
Mars,Phobos,401,2460938.500000,9378.950500,0.015255018116,27.782540471,82.655187744,114.674812714,63.938980508,1127.900555218483
Mars,Phobos,401,2460945.500000,9378.153689,0.015324083514,27.776696763,82.535180159,117.306316775,43.328537816,1128.044305635886
Mars,Phobos,401,2460952.500000,9378.105309,0.015400088640,27.768658824,82.413688346,120.061317397,22.593038972,1128.053034873510
Mars,Phobos,401,2460959.500000,9379.356146,0.015556930422,27.756390164,82.293786151,122.771449955,1.903652115,1127.827385435206
Mars,Phobos,401,2460966.500000,9379.121999,0.015514660853,27.741626904,82.176825393,125.361998582,341.334940622,1127.869619648220
Mars,Phobos,401,2460973.500000,9378.012406,0.015344065002,27.724478927,82.061049954,128.229379731,320.483440439,1128.069797323129
Mars,Phobos,401,2460980.500000,9378.267017,0.015257799633,27.704196846,81.945997542,131.022180336,299.704772331,1128.023858673120
Mars,Phobos,401,2460987.500000,9378.986220,0.015149875157,27.680658589,81.835476649,133.758877197,278.981005490,1127.894111784310
Mars,Phobos,401,2460994.500000,9378.841792,0.015003627124,27.655797441,81.727239599,136.993481592,257.758109592,1127.920165225504
Mars,Phobos,401,2461001.500000,9377.981377,0.014922091921,27.627439800,81.619808327,140.633708864,236.127478174,1128.075396083414
Mars,Phobos,401,2461008.500000,9378.020049,0.014829900533,27.596028003,81.517035569,144.096992063,214.667436826,1128.068418278779
