Satellite,Code,jd_tdb,x_km,y_km,z_km
Phobos,401,2459219.000000,7459.383390,-4212.137671,-4132.465144
Phobos,401,2459226.000000,5910.459417,-6564.850836,-3466.939671
Phobos,401,2459233.000000,3797.507067,-8295.361355,-2473.783732
Phobos,401,2459240.000000,1315.583401,-9229.661390,-1242.378298
Phobos,401,2459247.000000,-1299.273041,-9262.440924,112.567281
Phobos,401,2459254.000000,-3788.154072,-8372.585396,1459.492475
Phobos,401,2459261.000000,-5895.106095,-6633.521774,2662.448899
Phobos,401,2459268.000000,-7396.909208,-4211.734790,3596.599888
Phobos,401,2459275.000000,-8131.263194,-1352.603060,4162.783238
Phobos,401,2459282.000000,-8019.455270,1646.112702,4301.463710
Phobos,401,2459289.000000,-7077.469511,4472.116173,4000.845385
Phobos,401,2459296.000000,-5411.486128,6838.255856,3296.738661
Phobos,401,2459303.000000,-3201.445188,8513.570412,2266.203475
Phobos,401,2459310.000000,-676.984430,9345.013385,1016.665545
Phobos,401,2459317.000000,1910.570333,9267.943676,-327.161105
Phobos,401,2459324.000000,4313.147242,8304.584252,-1636.885116
Phobos,401,2459331.000000,6305.949432,6555.942237,-2790.821089
Phobos,401,2459338.000000,7703.825465,4190.559262,-3682.824759
Phobos,401,2459345.000000,8374.555351,1429.740487,-4230.060691
Phobos,401,2459352.000000,8248.836100,-1469.333436,-4379.170360
Phobos,401,2459359.000000,7327.231356,-4230.895858,-4111.304921
Phobos,401,2459366.000000,5685.346477,-6582.416413,-3445.503030
Phobos,401,2459373.000000,3472.684324,-8281.699993,-2440.488292
Phobos,401,2459380.000000,902.976657,-9144.412795,-1191.595478
Phobos,401,2459387.000000,-1764.363883,-9068.748287,176.791821
Phobos,401,2459394.000000,-4251.781446,-8053.712657,1523.789568
Phobos,401,2459401.000000,-6298.751392,-6203.124053,2710.051313
Phobos,401,2459408.000000,-7694.808066,-3712.806812,3614.608572
Phobos,401,2459415.000000,-8303.327791,-845.571562,4149.020267
Phobos,401,2459422.000000,-8074.903204,2102.381232,4266.424124
Phobos,401,2459429.000000,-7047.506014,4837.641011,3964.420532
Phobos,401,2459436.000000,-5335.246061,7098.951602,3281.291646
Phobos,401,2459443.000000,-3112.466573,8678.160706,2288.972360
Phobos,401,2459450.000000,-594.842201,9434.433353,1085.409099
Phobos,401,2459457.000000,1980.308903,9301.944122,-215.235356
Phobos,401,2459464.000000,4372.360756,8292.329857,-1491.690282
Phobos,401,2459471.000000,6353.599789,6494.143208,-2623.818998
Phobos,401,2459478.000000,7728.047615,4069.139224,-3501.855184
Phobos,401,2459485.000000,8350.691485,1242.909617,-4036.562086
Phobos,401,2459492.000000,8144.349170,-1711.592912,-4169.475039
Phobos,401,2459499.000000,7113.534499,-4497.036018,-3880.726289
Phobos,401,2459506.000000,5351.343498,-6823.317603,-3194.907245
Phobos,401,2459513.000000,3033.347048,-8444.060212,-2180.515600
Phobos,401,2459520.000000,398.677199,-9188.423840,-943.206778
Phobos,401,2459527.000000,-2277.912610,-8982.585821,386.590761
Phobos,401,2459534.000000,-4720.723885,-7858.231250,1670.672688
Phobos,401,2459541.000000,-6687.058315,-5943.856085,2779.937814
Phobos,401,2459548.000000,-7991.056103,-3443.759337,3608.047237
Phobos,401,2459555.000000,-8518.226671,-612.136391,4080.088120
Phobos,401,2459562.000000,-8230.875309,2274.473184,4157.609303
Phobos,401,2459569.000000,-7165.494949,4943.559340,3839.260659
Phobos,401,2459576.000000,-5425.927599,7146.939421,3158.212987
Phobos,401,2459583.000000,-3174.150713,8677.498319,2179.218769
