Planet,Satellite,Code,GM_km3_s2,mean_radius_km,mean_density_g_cm3
Mars,Phobos,401,0.0007087,11.08,1.872
Mars,Deimos,402,0.0000962,6.2,1.471
Jupiter,Io,501,5959.91547,1821.49,3.5276
Jupiter,Europa,502,3202.71210,1560.80,3.0130
Jupiter,Ganymede,503,9887.83275,2631.20,1.9416
Jupiter,Callisto,504,7179.28340,2410.30,1.8340
Saturn,Mimas,601,2.50349,198.20,1.1501
Saturn,Enceladus,602,7.21037,252.10,1.6097
Saturn,Tethys,603,41.21353,531.10,0.9840
Saturn,Dione,604,73.11607,561.40,1.4781
Saturn,Rhea,605,153.94175,763.50,1.2372
Saturn,Titan,606,8978.13710,2574.76,1.8814
Saturn,Iapetus,608,120.51511,734.30,1.0887
Uranus,Ariel,701,83.5,578.9,1.539
Uranus,Umbriel,702,85.1,584.7,1.523
Uranus,Titania,703,226.9,788.9,1.653
Uranus,Oberon,704,205.3,761.4,1.664
Uranus,Miranda,705,4.3,235.8,1.178
Neptune,Triton,801,1428.49546,1352.60,2.0649
Neptune,Nereid,802,0.00000,170.00,n/a
Neptune,Proteus,808,2.58342,208.00,1.0269
